nume_actiune,timestamp
listeaza_toate_test_driveurile,2026-05-21T17:15:44.004294800
listeaza_test_driveuri_client,2026-05-21T17:15:44.005336300
sterge_masina,2026-05-21T17:15:44.007350
cauta_masina_dupa_vin,2026-05-21T17:15:44.008358600
listeaza_toate_masinile,2026-05-21T17:15:44.009376400
sterge_client,2026-05-21T17:15:44.010385600
cauta_client_dupa_id,2026-05-21T17:15:44.011393
listeaza_toti_clientii,2026-05-21T17:15:44.013443600
cauta_masina_dupa_vin,2026-05-21T17:15:44.014447800
cauta_client_dupa_id,2026-05-21T17:15:44.015452700
finalizeaza_vanzare,2026-05-21T17:15:44.016458
demo_etapa2_jdbc,2026-05-21T17:16:12.825896900
demo_etapa2_jdbc,2026-05-21T17:18:10.799051800
demo_etapa2_jdbc,2026-05-21T17:21:52.093438400
demo_etapa2_jdbc,2026-05-21T17:25:46.296864300
adauga_masina,2026-05-31T18:51:49.433810200
adauga_masina,2026-05-31T18:51:49.456251400
adauga_masina,2026-05-31T18:51:49.458689300
listeaza_toate_masinile,2026-05-31T18:51:49.459700400
inregistreaza_client,2026-05-31T18:51:49.465879
inregistreaza_client,2026-05-31T18:51:49.467180500
listeaza_toti_clientii,2026-05-31T18:51:49.468647100
cauta_masina_dupa_vin,2026-05-31T18:51:49.472650600
listeaza_masini_disponibile,2026-05-31T18:51:49.474936200
listeaza_masini_sortate_dupa_pret,2026-05-31T18:51:49.485508600
cauta_clienti_dupa_nume,2026-05-31T18:51:49.508888700
creeaza_comanda,2026-05-31T18:51:49.516233100
finalizeaza_vanzare,2026-05-31T18:51:49.527258300
marcheaza_masina_vanduta,2026-05-31T18:51:49.528272900
cauta_masina_dupa_vin,2026-05-31T18:51:49.530735800
listeaza_toate_comenzile,2026-05-31T18:51:49.534314200
programeaza_test_drive,2026-05-31T18:51:49.537314700
programeaza_test_drive,2026-05-31T18:51:49.543495300
listeaza_comenzi_client,2026-05-31T18:51:49.547071700
listeaza_toate_test_driveurile,2026-05-31T18:51:49.549491900
listeaza_test_driveuri_client,2026-05-31T18:51:49.552504100
sterge_masina,2026-05-31T18:51:49.557503100
cauta_masina_dupa_vin,2026-05-31T18:51:49.559751100
listeaza_toate_masinile,2026-05-31T18:51:49.562030400
sterge_client,2026-05-31T18:51:49.564149200
cauta_client_dupa_id,2026-05-31T18:51:49.565602500
listeaza_toti_clientii,2026-05-31T18:51:49.575387800
cauta_masina_dupa_vin,2026-05-31T18:51:49.578528400
cauta_client_dupa_id,2026-05-31T18:51:49.580825200
finalizeaza_vanzare,2026-05-31T18:51:49.583824500
adauga_masina,2026-05-31T18:52:53.820231900
adauga_masina,2026-05-31T18:52:53.837944
adauga_masina,2026-05-31T18:52:53.838941400
listeaza_toate_masinile,2026-05-31T18:52:53.841031
inregistreaza_client,2026-05-31T18:52:53.844264
inregistreaza_client,2026-05-31T18:52:53.846532300
listeaza_toti_clientii,2026-05-31T18:52:53.847533500
cauta_masina_dupa_vin,2026-05-31T18:52:53.849651300
listeaza_masini_disponibile,2026-05-31T18:52:53.852839200
listeaza_masini_sortate_dupa_pret,2026-05-31T18:52:53.865382200
cauta_clienti_dupa_nume,2026-05-31T18:52:53.882007600
creeaza_comanda,2026-05-31T18:52:53.887005600
finalizeaza_vanzare,2026-05-31T18:52:53.894171600
marcheaza_masina_vanduta,2026-05-31T18:52:53.896271600
cauta_masina_dupa_vin,2026-05-31T18:52:53.897266300
listeaza_toate_comenzile,2026-05-31T18:52:53.898268400
programeaza_test_drive,2026-05-31T18:52:53.916270900
programeaza_test_drive,2026-05-31T18:52:53.923272600
listeaza_comenzi_client,2026-05-31T18:52:53.933275200
listeaza_toate_test_driveurile,2026-05-31T18:52:53.942284
listeaza_test_driveuri_client,2026-05-31T18:52:53.950723200
sterge_masina,2026-05-31T18:52:53.960539100
cauta_masina_dupa_vin,2026-05-31T18:52:53.962539100
listeaza_toate_masinile,2026-05-31T18:52:53.964539300
sterge_client,2026-05-31T18:52:53.969539500
cauta_client_dupa_id,2026-05-31T18:52:53.970956
listeaza_toti_clientii,2026-05-31T18:52:53.976576200
cauta_masina_dupa_vin,2026-05-31T18:52:53.978591700
cauta_client_dupa_id,2026-05-31T18:52:53.980592100
finalizeaza_vanzare,2026-05-31T18:52:53.983048100
demo_etapa2_jdbc,2026-05-31T18:56:08.034132900
demo_etapa2_jdbc,2026-05-31T19:01:30.262553300
adauga_masina,2026-05-31T19:05:11.466153600
adauga_masina,2026-05-31T19:05:11.477340700
adauga_masina,2026-05-31T19:05:11.478366
listeaza_toate_masinile,2026-05-31T19:05:11.479534400
inregistreaza_client,2026-05-31T19:05:11.482802700
inregistreaza_client,2026-05-31T19:05:11.482802700
listeaza_toti_clientii,2026-05-31T19:05:11.484081400
cauta_masina_dupa_vin,2026-05-31T19:05:11.486081800
listeaza_masini_disponibile,2026-05-31T19:05:11.487080600
listeaza_masini_sortate_dupa_pret,2026-05-31T19:05:11.492156800
cauta_clienti_dupa_nume,2026-05-31T19:05:11.501032200
creeaza_comanda,2026-05-31T19:05:11.505360100
finalizeaza_vanzare,2026-05-31T19:05:11.510363
marcheaza_masina_vanduta,2026-05-31T19:05:11.511499200
cauta_masina_dupa_vin,2026-05-31T19:05:11.511499200
listeaza_toate_comenzile,2026-05-31T19:05:11.512778800
programeaza_test_drive,2026-05-31T19:05:11.513778900
programeaza_test_drive,2026-05-31T19:05:11.515780500
listeaza_comenzi_client,2026-05-31T19:05:11.517778100
listeaza_toate_test_driveurile,2026-05-31T19:05:11.518779500
listeaza_test_driveuri_client,2026-05-31T19:05:11.519780
sterge_masina,2026-05-31T19:05:11.521780400
cauta_masina_dupa_vin,2026-05-31T19:05:11.522779500
listeaza_toate_masinile,2026-05-31T19:05:11.524288400
sterge_client,2026-05-31T19:05:11.526293900
cauta_client_dupa_id,2026-05-31T19:05:11.526293900
listeaza_toti_clientii,2026-05-31T19:05:11.531071
cauta_masina_dupa_vin,2026-05-31T19:05:11.532081600
cauta_client_dupa_id,2026-05-31T19:05:11.534185100
finalizeaza_vanzare,2026-05-31T19:05:11.535536500
demo_etapa2_jdbc,2026-05-31T19:05:31.023919700
demo_etapa2_jdbc,2026-05-31T19:06:01.955703800
demo_etapa2_jdbc,2026-05-31T19:08:24.645824
demo_etapa2_jdbc,2026-05-31T19:09:09.248670400
demo_etapa2_jdbc,2026-05-31T19:09:48.690616900
demo_etapa2_jdbc,2026-05-31T19:18:26.116167400
